starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	0	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	0	1	0
Sun Oct 13 20:46:10 2024	1728866770	0	1	1	0
